seed,condition,mean_abs_action_delta_vs_full_mm,history_residual_norm,forecast_residual_norm,history_branch_active,forecast_branch_active,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm
22,Reversed History,0.02209223248064518,0.4839317500591278,0.2647901773452759,True,True,375.6367412507534,57.1917808219178,42.80821917808219,0.02201008241792901,0.024776964358970963,0.0,42.80821917808219,806.8016491725107,0.0,0.30503395182666493,1.4210854715202004e-14
22,Zero History,0.018481096252799034,0.4839317500591278,0.2647901773452759,True,True,387.9690375626087,56.39269406392694,43.60730593607306,0.02226879702850527,0.022316127760332188,0.0,43.60730593607306,819.026264100384,0.0,0.30699517313404295,1.4210854715202004e-14
22,Shuffled Forecast,0.005051757209002972,0.4839317500591278,0.2647901773452759,True,True,387.7359686791897,56.49543378995434,43.50456621004567,0.022224288626344197,0.028954884208137417,0.0,43.50456621004567,817.6703742178595,0.0,0.30587983928404816,1.4210854715202004e-14
22,Zero Forecast,0.003386405063793063,0.4839317500591278,0.2647901773452759,True,True,394.89792320132256,56.118721461187214,43.881278538812786,0.02231292579945961,0.028925594084882645,0.0,43.881278538812786,824.5160256983772,0.0,0.3063821416130583,1.4210854715202004e-14
33,Full,0.0,0.0,0.0,False,False,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,No History,0.0,0.0,0.0,False,False,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,No Forecast,0.0,0.0,0.0,False,False,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,No Context,0.0,0.0,0.0,False,False,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,Shuffled History,0.0,0.0,0.0,False,False,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,Reversed History,0.0,0.0,0.0,False,False,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,Zero History,0.0,0.0,0.0,False,False,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,Shuffled Forecast,0.0,0.0,0.0,False,False,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,Zero Forecast,0.0,0.0,0.0,False,False,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
