experiment,condition,seed,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm
context_ablation,Shuffled Forecast,22,386.421268671751,51.65525114155252,48.34474885844749,0.02262606310165256,0.00889968215051423,0.0,48.34474885844749,812.4669481628331,0.0,0.3194250129928664,2.842170943040401e-14
context_ablation,Zero Forecast,22,393.2940899133682,51.07305936073059,48.926940639269404,0.022721608955550993,0.007663201300408391,0.0,48.926940639269404,819.2183701396009,0.0,0.3200545044073857,2.842170943040401e-14
forecast_robustness,SF10,22,387.96200489997864,51.79223744292237,48.20776255707763,0.022641015712707043,0.007882213406073393,0.0,48.20776255707763,814.0503953350898,0.0,0.319287686405503,1.4210854715202004e-14
forecast_robustness,SF20,22,387.859356790781,51.79223744292237,48.20776255707763,0.022639614448622798,0.008033608377000243,0.0,48.20776255707763,813.9485607915167,0.0,0.3192799898816619,1.4210854715202004e-14
forecast_robustness,SF30,22,387.68039298057556,51.79223744292237,48.20776255707763,0.022637195727788304,0.008241825604468723,0.0,48.20776255707763,813.7712593992517,0.0,0.31926770306307883,1.4210854715202004e-14
sequence_sensitivity,k6,22,392.0817397534847,51.25570776255708,48.74429223744292,0.02270365909716084,0.008141296991734135,0.0,48.74429223744292,817.9751558264832,0.0,0.31989970625326936,2.842170943040401e-14
sequence_sensitivity,k12,22,388.92486321926117,51.81506849315068,48.18493150684932,0.02265518608629548,0.008590074496150003,0.0,48.18493150684932,814.9626564049588,0.0,0.31960292080237157,1.4210854715202004e-14
sequence_sensitivity,k24,22,387.859356790781,51.79223744292237,48.20776255707763,0.022639614448622798,0.008033608377000243,0.0,48.20776255707763,813.9485607915167,0.0,0.3192799898816619,1.4210854715202004e-14
sequence_sensitivity,k48,22,387.6141839623451,51.917808219178085,48.08219178082192,0.022635538385844377,0.008081054429592015,0.0,48.08219178082192,813.6921656575486,0.0,0.3191833032297667,1.4210854715202004e-14
context_ablation,Full,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
context_ablation,No History,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
context_ablation,No Forecast,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
context_ablation,No Context,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
context_ablation,Shuffled History,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
context_ablation,Reversed History,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
context_ablation,Zero History,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
context_ablation,Shuffled Forecast,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
context_ablation,Zero Forecast,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
forecast_robustness,SF10,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
forecast_robustness,SF20,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
forecast_robustness,SF30,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
sequence_sensitivity,k6,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
sequence_sensitivity,k12,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
sequence_sensitivity,k24,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
sequence_sensitivity,k48,33,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14
context_ablation,Full,44,338.91160306334496,57.294520547945204,42.705479452054796,0.021765767038997994,0.01384843851363418,0.0,42.705479452054796,771.5489630557056,0.0,0.3103911837362683,1.4210854715202004e-14
context_ablation,No History,44,349.8566218614578,57.38584474885845,42.61415525114155,0.021876583640209144,0.017061988030656967,0.0,42.61415525114155,782.7634484135767,0.0,0.3105028865735127,1.4210854715202004e-14
context_ablation,No Forecast,44,355.651820063591,56.21004566210046,43.789954337899545,0.022000470672459214,0.014511357926113827,0.0,43.789954337899545,786.7105970715138,0.0,0.3124109698808009,1.4210854715202004e-14
context_ablation,No Context,44,368.3022954761982,56.57534246575342,43.42465753424658,0.02211373415942417,0.01855948615705658,0.0,43.42465753424658,800.0285983169786,0.0,0.3122526234983457,1.4210854715202004e-14
context_ablation,Shuffled History,44,364.3871046304703,56.88356164383561,43.11643835616438,0.022042553367303847,0.020346364595667115,0.0,43.11643835616438,796.6170322195716,0.0,0.31072763840559964,1.4210854715202004e-14
context_ablation,Reversed History,44,363.7307074368,56.974885844748854,43.025114155251146,0.022022919598939476,0.019584256378615442,0.0,43.025114155251146,796.0829615925418,0.0,0.31074466053623223,2.842170943040401e-14
context_ablation,Zero History,44,329.1648818552494,58.48173515981735,41.51826484018265,0.02156164483146206,0.015236114296062255,0.0,41.51826484018265,763.296555848718,0.0,0.30840284871635587,1.4210854715202004e-14
context_ablation,Shuffled Forecast,44,337.9916527867317,57.30593607305936,42.69406392694064,0.02174524238683466,0.01472706910559189,0.0,42.69406392694064,770.3266610054446,0.0,0.31068241795855756,1.4210854715202004e-14
context_ablation,Zero Forecast,44,341.88313296437263,56.99771689497717,43.00228310502283,0.021804936982908193,0.014062411423918455,0.0,43.00228310502283,773.9348857620133,0.0,0.31109440572694985,1.4210854715202004e-14
forecast_robustness,SF10,44,338.9822827875614,57.28310502283105,42.71689497716895,0.021766685041940854,0.013796026915743928,0.0,42.71689497716895,771.6217908553845,0.0,0.31039137849585047,1.4210854715202004e-14
forecast_robustness,SF20,44,338.91160306334496,57.294520547945204,42.705479452054796,0.021765767038997994,0.01384843851363418,0.0,42.705479452054796,771.5489630557056,0.0,0.3103911837362683,1.4210854715202004e-14
forecast_robustness,SF30,44,338.78467801213264,57.294520547945204,42.705479452054796,0.021763886594515443,0.013952908875640362,0.0,42.705479452054796,771.4202171661864,0.0,0.31038739974196805,1.4210854715202004e-14
