experiment_id,experiment_family,module,algorithm_family,model,seed,split,period_start,period_end,reward_version,virtual_garden_version,observation_version,forecast_enabled,memory_enabled,forecast_protocol,forecast_error,forecast_horizon,sequence_length,checkpoint,checkpoint_hash,validation_gate,steps,environment_interactions,training_budget_version,total_water_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,action_smoothness,mean_soil_moisture,runoff_total_mm,drainage_total_mm,reward_mean,mass_balance_error,git_commit,source_result_status,result_status
8H_main_confirmatory_sac_seed11,main_confirmatory,8H,SAC,SAC,11,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/Fair_DRL/SAC/sac_seed11_best.pt,a5b5515ccdd9a325c38790b98bf971365347ffb392f36a54983f16c5e809825c,True,8760,6720,fair6720,363.9682439863682,54.34931506849316,45.65068493150685,0.0,45.65068493150685,0.0222405383240826,0.0147948000396763,0.3164681360005872,0.0,790.3963961208449,-0.1866702439061371,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sac_seed22,main_confirmatory,8H,SAC,SAC,22,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/Fair_DRL/SAC/sac_seed22_best.pt,be956eea64d7c1922120fcae84bb2052670f37f8787a5cfd7abbdbfac961efc2,True,8760,6720,fair6720,392.07386296987534,56.03881278538813,43.96118721461188,0.0,43.96118721461188,0.0223409211647084,0.0220364492557979,0.3078096569743293,0.0,822.684859684949,-0.12523748869409004,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sac_seed33,main_confirmatory,8H,SAC,SAC,33,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/Fair_DRL/SAC/sac_seed33_best.pt,a292da3fa2b0069874f58b9836c9126bcbd61a061960f2e07778558e7fb3efd1,True,8760,6720,fair6720,344.1287980377674,55.81050228310502,44.18949771689498,0.0,44.18949771689498,0.0219482942003519,0.0092861546591164,0.306555749619147,0.0,773.8239274937941,-0.12006645868658714,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sac_seed44,main_confirmatory,8H,SAC,SAC,44,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/Fair_DRL/SAC/sac_seed44_best.pt,d59cddbbb0af9ce3b4015776f37a5ea3d439fafd65840833174f475e12e9c363,True,8760,6720,fair6720,329.9202690422535,57.26027397260274,42.73972602739726,0.0,42.73972602739726,0.0216335411313111,0.0104018174658791,0.3120884367734928,0.0,761.491585806887,-0.048944456606280766,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sac_seed55,main_confirmatory,8H,SAC,SAC,55,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/Fair_DRL/SAC/sac_seed55_best.pt,aa2a2e370df694c2c6c53440615b5d7a77b0e9c919b5d330bce6e22c8a763e09,True,8760,6720,fair6720,472.0233750343323,52.8310502283105,47.1689497716895,0.0,47.1689497716895,0.0233437368270669,0.0345389711515233,0.3179263607543453,0.0,898.2271010456545,-0.28524001885360856,2.8421709430404014e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sac_seed66,main_confirmatory,8H,SAC,SAC,66,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/Fair_DRL/SAC/sac_seed66_best.pt,b8b2a592c3c3ab05d208d068ac2e72e96cf02f8f5a626aa618138799a4366da4,True,8760,6720,fair6720,379.19644409418106,53.45890410958904,46.54109589041096,0.0,46.54109589041096,0.0224406782340602,0.0120404853009921,0.3172861969080174,0.0,806.00965506167,-0.22370999385767493,2.8421709430404014e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sac_seed77,main_confirmatory,8H,SAC,SAC,77,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/Fair_DRL/SAC/sac_seed77_best.pt,075e7fea4a8b994d7c1074ba1e7d3a087e9de05262d4ba7dad1adcbc31de68ba,True,8760,6720,fair6720,317.25008007884026,50.30821917808219,49.69178082191781,8.926940639269407,40.764840182648406,0.0214951855940534,0.0100758974819453,0.2977671260931419,0.0,761.1924301705192,-0.25937608395532935,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sac_seed88,main_confirmatory,8H,SAC,SAC,88,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/Fair_DRL/SAC/sac_seed88_best.pt,dcf4b45b859fa169e6e6194f51cb67d7cfda41548c66d1f5fdec4b18f2e373f4,True,8760,6720,fair6720,349.23950147628784,55.57077625570776,44.42922374429224,0.0,44.42922374429224,0.0219555133752765,0.0119382992824036,0.3129540926453561,0.0,777.8459480768644,-0.12288512339124306,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sac_seed99,main_confirmatory,8H,SAC,SAC,99,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/Fair_DRL/SAC/sac_seed99_best.pt,11650209afccd0065c436661afbcf896072ffb373c6129f9bfee35a05ef09902,True,8760,6720,fair6720,382.8724527657032,53.05936073059361,46.94063926940639,0.0,46.94063926940639,0.0224796236052376,0.0103129886515214,0.3180323987697495,0.0,808.7973899363576,-0.23903303472990467,2.8421709430404014e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sac_seed110,main_confirmatory,8H,SAC,SAC,110,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/Fair_DRL/SAC/sac_seed110_best.pt,5c0f619863fddbdd9d3e8b0c7542756a1dfce5f7398ffe314e9de8480301480f,False,8760,6720,fair6720,610.3058835566044,52.47716894977169,47.52283105022831,0.0,47.52283105022831,0.0246179499006751,0.0437932969643544,0.3166752988517227,8.564019726911567,1027.9975174393835,-0.3523092586831799,2.8421709430404014e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sacsi-pomdp_seed11,main_confirmatory,8H,SACSI_POMDP,SACSI-POMDP,11,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8+history24x8+forecast3,True,True,SF-20_h1_controlled_proxy,0.2,1.0,24.0,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed11_best.pt,f7334b7143035614558fb80e78b61ddb63a3204ab3420e58dfe118f7b42c8cf7,True,8760,13440,anchor6720+adaptation6720,358.0689211189747,54.965753424657535,45.03424657534247,0.0,45.03424657534247,0.0221390340778627,0.0173221019519111,0.3143605043323005,0.0,784.3496554751598,-0.1624903230067625,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_sacsi-pomdp_seed22,main_confirmatory,8H,SACSI_POMDP,SACSI-POMDP,22,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8+history24x8+forecast3,True,True,SF-20_h1_controlled_proxy,0.2,1.0,24.0,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed22_best.pt,8af5b9d69e4d1eb7187854f9c3a6575ec1935e0443b5df4f7011202e50497f54,True,8760,13440,anchor6720+adaptation6720,394.6850163936615,56.267123287671225,43.73287671232877,0.0,43.73287671232877,0.0222897324041581,0.0297535447235153,0.3059615287695921,0.0,824.3504911951243,-0.11119437854027474,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
