variant,seed,forecast,memory,evaluation_split,result_status,checkpoint,checkpoint_sha256,checkpoint_validation_gate,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm,cumulative_reward,reward_version,training_device,new_interactions,base_anchor_interactions,effective_total_interactions
SAC + LSTM,11,False,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed11_best.pt,9c40f5b27de2dced99cd2fe85e0634fe48e00fbc81b3aa9cda06a65dc380962b,True,358.5278112888336,54.31506849315069,45.68493150684931,0.0221851321537325,0.015583264009772,0.0,45.68493150684931,785.0641442037287,0.0,0.3151082841888618,1.4210854715202004e-14,-1598.837198843259,reward_v4,cuda,6720,6720,13440
SAC + LSTM,22,False,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed22_best.pt,6d915dd83bfb8bf26b5f29862732ae610ac181575fcce260fd1f4eac3595fcc2,True,328.461906760931,57.78538812785388,42.21461187214612,0.021561601220485,0.0176885082768256,0.0,42.21461187214612,761.0195552951214,0.0,0.3048315731829446,1.4210854715202004e-14,-236.25472400763192,reward_v4,cuda,6720,6720,13440
SAC + LSTM,33,False,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed33_best.pt,5845360d44741b0bad38b50032ee0ccc998a5eee7c92ca047bcd4ad34298202e,True,326.25818198919296,49.965753424657535,50.03424657534247,0.0218373169665932,0.0095935389220898,6.472602739726027,43.56164383561644,764.0092687093633,0.0,0.3021265214287981,1.4210854715202004e-14,-2623.042760777408,reward_v4,cuda,6720,6720,13440
SAC + LSTM,44,False,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed44_best.pt,00942705d49e9fa5512fee11ebe0b493d2165a75e5c2243c4e061ad2fee63f40,True,337.377700060606,56.81506849315069,43.18493150684932,0.0217479542258301,0.0112545659708396,0.0,43.18493150684932,768.908779976523,0.0,0.3084054231880984,1.4210854715202004e-14,-618.3359678081752,reward_v4,cuda,6720,6720,13440
SAC + LSTM,55,False,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed55_best.pt,767ef38ae77a1985bab75033b5af120fa4300cbfe98b26365a5d346528d6a649,True,472.0233750343323,52.8310502283105,47.1689497716895,0.0233437368270669,0.0345389711515233,0.0,47.1689497716895,898.2271010456545,0.0,0.3179263607543453,2.8421709430404014e-14,-2498.702565157611,reward_v4,cuda,6720,6720,13440
SAC + LSTM,66,False,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed66_best.pt,cac8d0c8ee6ffbb52fe10e057ad163b97acea1efe8b1b498764c5054f9e31230,True,362.7112322151661,54.44063926940639,45.5593607305936,0.022182020964731,0.0115797893174068,0.0,45.5593607305936,790.4274649522499,0.0,0.3153183007530905,1.4210854715202004e-14,-1515.435380437978,reward_v4,cuda,6720,6720,13440
SAC + LSTM,77,False,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed77_best.pt,8361961f96d9108d38c769dbd7ddcd21dee0bb0671f3eb35277a86b1f3d4adc7,True,313.5182566642761,50.273972602739725,49.72602739726028,0.0214401972056008,0.0096458898673714,9.052511415525114,40.67351598173516,757.3327739087044,0.0,0.297637730748949,1.4210854715202004e-14,-2207.2720175942454,reward_v4,cuda,6720,6720,13440
SAC + LSTM,88,False,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed88_best.pt,0ad40440736ccb3cd60752009df2b23df55754b7f001256087e9d6d84310f5a3,True,342.061608761549,56.02739726027397,43.97260273972603,0.0218477335347342,0.0121315253462771,0.0,43.97260273972603,772.2430150112674,0.0,0.3118961542573542,1.4210854715202004e-14,-877.4433313433442,reward_v4,cuda,6720,6720,13440
SAC + LSTM,99,False,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed99_best.pt,d243769581221402b51f7bf08b46cd27c9d1022afb8f263fb88579ec534e68f1,True,341.9433650970459,55.730593607305934,44.26940639269407,0.0218698093797534,0.0093158396844083,0.0,44.26940639269407,768.9810201733908,0.0,0.3135571154164731,1.4210854715202004e-14,-998.0369742558064,reward_v4,cuda,6720,6720,13440
SAC + LSTM,110,False,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed110_best.pt,6576b6674a5cd8c5aa7c50de1b663f21864dbaccc670b04ac6c6ad2808aedd2e,True,444.785142660141,55.55936073059361,44.44063926940639,0.0229176348226443,0.028361313085004,0.0,44.44063926940639,871.3017135805915,0.0,0.3126298425100241,2.8421709430404014e-14,-1561.1553662179513,reward_v4,cuda,6720,6720,13440
