model,seed,evaluation_split,result_status,reward_version,training_device,inference_device,checkpoint_validation_gate,new_interactions,base_anchor_interactions,effective_total_interactions,checkpoint,checkpoint_sha256,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm,cumulative_reward
SAC,44,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/Fair_DRL/SAC/sac_seed44_best.pt,d59cddbbb0af9ce3b4015776f37a5ea3d439fafd65840833174f475e12e9c363,329.9202690422535,57.26027397260274,42.73972602739726,0.0216335411313111,0.0104018174658791,0.0,42.73972602739726,761.491585806887,0.0,0.3120884367734928,1.4210854715202004e-14,-428.7534398710195
SAC,55,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/Fair_DRL/SAC/sac_seed55_best.pt,aa2a2e370df694c2c6c53440615b5d7a77b0e9c919b5d330bce6e22c8a763e09,472.0233750343323,52.8310502283105,47.1689497716895,0.0233437368270669,0.0345389711515233,0.0,47.1689497716895,898.2271010456545,0.0,0.3179263607543453,2.8421709430404014e-14,-2498.702565157611
SAC,66,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/Fair_DRL/SAC/sac_seed66_best.pt,b8b2a592c3c3ab05d208d068ac2e72e96cf02f8f5a626aa618138799a4366da4,379.19644409418106,53.45890410958904,46.54109589041096,0.0224406782340602,0.0120404853009921,0.0,46.54109589041096,806.00965506167,0.0,0.3172861969080174,2.8421709430404014e-14,-1959.6995461932324
SAC,77,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/Fair_DRL/SAC/sac_seed77_best.pt,075e7fea4a8b994d7c1074ba1e7d3a087e9de05262d4ba7dad1adcbc31de68ba,317.25008007884026,50.30821917808219,49.69178082191781,0.0214951855940534,0.0100758974819453,8.926940639269407,40.764840182648406,761.1924301705192,0.0,0.2977671260931419,1.4210854715202004e-14,-2272.134495448685
SAC,88,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/Fair_DRL/SAC/sac_seed88_best.pt,dcf4b45b859fa169e6e6194f51cb67d7cfda41548c66d1f5fdec4b18f2e373f4,349.23950147628784,55.57077625570776,44.42922374429224,0.0219555133752765,0.0119382992824036,0.0,44.42922374429224,777.8459480768644,0.0,0.3129540926453561,1.4210854715202004e-14,-1076.4736809072892
SAC,99,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/Fair_DRL/SAC/sac_seed99_best.pt,11650209afccd0065c436661afbcf896072ffb373c6129f9bfee35a05ef09902,382.8724527657032,53.05936073059361,46.94063926940639,0.0224796236052376,0.0103129886515214,0.0,46.94063926940639,808.7973899363576,0.0,0.3180323987697495,2.8421709430404014e-14,-2093.929384233965
SAC,110,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/Fair_DRL/SAC/sac_seed110_best.pt,5c0f619863fddbdd9d3e8b0c7542756a1dfce5f7398ffe314e9de8480301480f,610.3058835566044,52.47716894977169,47.52283105022831,0.0246179499006751,0.0437932969643544,0.0,47.52283105022831,1027.9975174393835,8.564019726911567,0.3166752988517227,2.8421709430404014e-14,-3086.2291060646558
SACSI-POMDP,11,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,6720,13440,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed11_best.pt,f7334b7143035614558fb80e78b61ddb63a3204ab3420e58dfe118f7b42c8cf7,358.0689211189747,54.965753424657535,45.03424657534247,0.0221390340778627,0.0173221019519111,0.0,45.03424657534247,784.3496554751598,0.0,0.3143605043323005,1.4210854715202004e-14,-1423.4152295392396
SACSI-POMDP,22,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,6720,13440,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed22_best.pt,8af5b9d69e4d1eb7187854f9c3a6575ec1935e0443b5df4f7011202e50497f54,394.6850163936615,56.267123287671225,43.73287671232877,0.0222897324041581,0.0297535447235153,0.0,43.73287671232877,824.3504911951243,0.0,0.3059615287695921,1.4210854715202004e-14,-974.0627560128067
SACSI-POMDP,33,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,6720,13440,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed33_best.pt,4084a79674549b2645ba263c026409dbaefdfe27c2d6b004f2030e962773c19f,344.1287980377674,55.81050228310502,44.18949771689498,0.0219482942003519,0.0092861546591164,0.0,44.18949771689498,773.8239274937941,0.0,0.306555749619147,1.4210854715202004e-14,-1051.7821780945033
SACSI-POMDP,44,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,6720,13440,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed44_best.pt,52f140e8235d8dbd7327943490a41386ba227bdde56e1580817cddb9bce0af81,341.1855608224869,57.089041095890416,42.91095890410959,0.0217753993855761,0.01115235419888,0.0,42.91095890410959,773.4771845428659,0.0,0.3088710018802939,1.4210854715202004e-14,-542.7144731519284
SACSI-POMDP,55,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,6720,13440,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed55_best.pt,ee354266e16c443b84384b19a269b6eb19e1fe6cd381e8992045a33f783f5c7b,372.7864509522915,55.60502283105024,44.39497716894977,0.0222247049384147,0.0207210731147045,0.0,44.39497716894977,802.9212480459258,0.0,0.3122676644154281,1.4210854715202004e-14,-1191.0832371246966
SACSI-POMDP,66,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,6720,13440,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed66_best.pt,d35b62ffb603072d092cf34db327cba7c08c29df71d36ccd22967fc908a420fc,353.97741597890854,55.4337899543379,44.5662100456621,0.0220483586394338,0.0122611634412004,0.0,44.5662100456621,783.4113054376896,0.0,0.313514622460284,1.4210854715202004e-14,-1184.7142174881642
SACSI-POMDP,77,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,6720,13440,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed77_best.pt,791422c2f7c852dc85751bf6ea62c470efa71a917296413f0617cbfd788fd1fd,317.25008007884026,50.30821917808219,49.69178082191781,0.0214951855940534,0.0100758974819453,8.926940639269407,40.764840182648406,761.1924301705192,0.0,0.2977671260931419,1.4210854715202004e-14,-2272.134495448685
SACSI-POMDP,88,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,6720,13440,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed88_best.pt,fd1da8a6ded8b2d0c4e76be3c19690e8334d26153b09f260a0da34bb7321adad,354.28326469659805,56.21004566210046,43.789954337899545,0.0219601324384677,0.0164537526065729,0.0,43.789954337899545,785.4525346775785,0.0,0.3115144646569948,1.4210854715202004e-14,-862.2760053717839
SACSI-POMDP,99,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,6720,13440,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed99_best.pt,ad6dd59db91184e8f5c153f8ebae4c3d9838466d89068221e84418de181eb656,431.9469735324383,55.14840182648402,44.85159817351598,0.0228620918396308,0.0210750155292943,0.0,44.85159817351598,857.3310682700702,1.1767303495154522,0.3150366922827275,1.4210854715202004e-14,-1546.2922903139238
SACSI-POMDP,110,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,6720,13440,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed110_best.pt,51f2a1406bc51618ed3b2b4177af56ff59933203b872116c3e951641545d7bcb,453.6605497598648,53.34474885844749,46.65525114155251,0.0229374129573369,0.03343809026264,3.550228310502283,43.10502283105023,889.3845431918194,0.9913956828877132,0.3047089046165014,1.4210854715202004e-14,-1975.2982333366465
