variant,seed,forecast,memory,reward_version,training_device,selected_episode,validation_gate,losses_finite,new_interactions,base_anchor_interactions,effective_total_interactions,checkpoint_selection,benchmark_used_for_selection,history_residual_norm,forecast_residual_norm,zero_history_action_delta_mm,zero_forecast_action_delta_mm,common_support_hash,checkpoint,checkpoint_sha256
SAC + LSTM,11,False,True,reward_v4,cuda,10,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.4384145438671112,,0.0073697041897546,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed11_best.pt,9c40f5b27de2dced99cd2fe85e0634fe48e00fbc81b3aa9cda06a65dc380962b
SAC + LSTM,22,False,True,reward_v4,cuda,15,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.6158567667007446,,0.0150638042638699,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed22_best.pt,6d915dd83bfb8bf26b5f29862732ae610ac181575fcce260fd1f4eac3595fcc2
SAC + LSTM,33,False,True,reward_v4,cuda,5,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.2558393180370331,,0.0085483478116137,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed33_best.pt,5845360d44741b0bad38b50032ee0ccc998a5eee7c92ca047bcd4ad34298202e
SAC + LSTM,44,False,True,reward_v4,cuda,10,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.4041299223899841,,0.0297079736455565,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed44_best.pt,00942705d49e9fa5512fee11ebe0b493d2165a75e5c2243c4e061ad2fee63f40
SAC + LSTM,55,False,True,reward_v4,cuda,0,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.0,,0.0,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed55_best.pt,767ef38ae77a1985bab75033b5af120fa4300cbfe98b26365a5d346528d6a649
SAC + LSTM,66,False,True,reward_v4,cuda,10,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.4133129417896271,,0.0208428142858403,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed66_best.pt,cac8d0c8ee6ffbb52fe10e057ad163b97acea1efe8b1b498764c5054f9e31230
SAC + LSTM,77,False,True,reward_v4,cuda,5,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.1656259596347808,,0.0008732945259128,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed77_best.pt,8361961f96d9108d38c769dbd7ddcd21dee0bb0671f3eb35277a86b1f3d4adc7
SAC + LSTM,88,False,True,reward_v4,cuda,10,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.3641588091850281,,0.0038050236623911,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed88_best.pt,0ad40440736ccb3cd60752009df2b23df55754b7f001256087e9d6d84310f5a3
SAC + LSTM,99,False,True,reward_v4,cuda,20,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.5316303968429565,,0.0290700815440643,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed99_best.pt,d243769581221402b51f7bf08b46cd27c9d1022afb8f263fb88579ec534e68f1
SAC + LSTM,110,False,True,reward_v4,cuda,10,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.4539915919303894,,0.0131774738076187,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed110_best.pt,6576b6674a5cd8c5aa7c50de1b663f21864dbaccc670b04ac6c6ad2808aedd2e
