model,seed,device,reward_version,selected_episode,validation_gate,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,mean_soil_moisture,max_abs_mass_balance_error_mm,checkpoint,checkpoint_sha256,benchmark_period,benchmark_2025_total_irrigation_mm,benchmark_2025_time_in_target_pct,benchmark_2025_violation_rate_pct,benchmark_2025_rmse_band,benchmark_2025_action_smoothness,benchmark_2025_deficit_rate_pct,benchmark_2025_surplus_rate_pct,benchmark_2025_drainage_total_mm,benchmark_2025_runoff_total_mm,benchmark_2025_mean_soil_moisture,benchmark_2025_max_abs_mass_balance_error_mm,checkpoint_training_period,checkpoint_validation_period,forecast_protocol,forecast_intervention_action_delta_mm,sequence_length,memory_active,context_residual_norm,zero_history_action_delta_mm,reverse_history_action_delta_mm,shuffle_history_action_delta_mm,history_active,forecast_active,history_residual_norm,forecast_residual_norm,zero_forecast_action_delta_mm,zero_context_action_delta_mm
SAC + LSTM,11,cuda,,2,True,551.3445352911949,58.66347905282332,,0.26183970856102,41.07468123861566,0.3052500300726932,2.8421709430404014e-14,Checkpoints\SAC_LSTM\sac_lstm_seed11_reward_v2_rrws_k24_training_ep10.pt,82ebf73a6053317272e6bc12b8748d44d2c34b0f37acfbc3406d2ef328831c48,2025,348.2573821544647,55.39954337899543,44.60045662100456,0.021997926319480617,0.012478455147496613,0.0,44.60045662100456,774.8117066419509,0.0,0.3128906752974402,1.4210854715202004e-14,2021-2023,2024,,,24.0,True,0.0957097113132476,0.001634246181874,0.0018149077714908,0.001629743636364,,,,,,
SAC + LSTM,22,cuda,,10,True,579.7072935402393,56.591530054644814,,0.0,43.40846994535519,0.3150432379431795,2.8421709430404014e-14,Checkpoints\SAC_LSTM\sac_lstm_seed22_reward_v2_rrws_k24_training_ep10.pt,75bb9818c8b53659c843ba85a6e2294d12af25140eb09eb3551cf76eb9769a03,2025,386.36571377515793,51.67808219178082,48.321917808219176,0.02261312744732808,0.007939550903565074,0.0,48.321917808219176,812.2703717850886,0.0,0.3200964643037117,1.4210854715202004e-14,2021-2023,2024,,,24.0,True,0.323095828294754,0.0143989982704321,0.0166326109319925,0.0105352504622368,,,,,,
SAC + LSTM,33,cuda,,0,True,672.0760239958763,56.97859744990893,,0.3529143897996357,42.66848816029144,0.3081102918876462,2.8421709430404014e-14,Checkpoints\SAC_LSTM\sac_lstm_seed33_reward_v2_rrws_k24_training_ep10.pt,979aff55c058990b9b675340fc09341a8a00900fae85d34daa3a4001059d784a,2025,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14,2021-2023,2024,,,24.0,False,0.0,0.0,0.0,0.0,,,,,,
SAC + LSTM,44,cuda,,6,True,590.8323789536953,59.36930783242259,,0.0341530054644808,40.59653916211293,0.3067601755603776,2.8421709430404014e-14,Checkpoints\SAC_LSTM\sac_lstm_seed44_reward_v2_rrws_k24_training_ep10.pt,9a13d5e695e9d6a5654e81d41cb7ac9fd1c4134a0aa2201d4a08a61b45b44707,2025,352.3749965429306,56.529680365296805,43.470319634703195,0.021932553038246875,0.014753416485132618,0.0,43.470319634703195,783.0834322275563,0.0,0.3122472920590273,1.4210854715202004e-14,2021-2023,2024,,,24.0,True,0.449413537979126,0.0080800386411803,0.014402280694672,0.0103842698569808,,,,,,
SAC + LSTM,55,cuda,,2,True,666.2186546325684,55.64663023679417,,1.081511839708561,43.27185792349727,0.3072302592387216,2.8421709430404014e-14,Checkpoints\SAC_LSTM\sac_lstm_seed55_reward_v2_rrws_k24_training_ep10.pt,a094c235962ab5adaca2b93f75a946895f4547001d5eb8232242210b46d8fc50,2025,476.9129312634468,47.6027397260274,52.3972602739726,0.0235184574036951,0.03595251930686815,1.3127853881278537,51.08447488584474,901.5497482813095,0.0,0.3203666471528114,1.4210854715202004e-14,2021-2023,2024,,,24.0,True,0.1703972816467285,0.0045445522382145,0.0048339625022241,0.003267965057776,,,,,,
SAC + LSTM,66,cuda,,10,True,566.7119650244713,58.333333333333336,,0.0,41.66666666666667,0.3064379429146208,2.8421709430404014e-14,Checkpoints\SAC_LSTM\sac_lstm_seed66_reward_v2_rrws_k24_training_ep10.pt,74080b6727b0a4c432288da02c5c2f690ac2621b5e5a324e63d58f478a358354,2025,350.73700588941574,56.41552511415525,43.58447488584475,0.021858417868213995,0.011540655533681382,0.0,43.58447488584475,781.8768011567993,0.0,0.30735259015109134,1.4210854715202004e-14,2021-2023,2024,,,24.0,True,0.5358659625053406,0.0148361100859585,0.0090308553938354,0.0079976793910775,,,,,,
SAC + LSTM,77,cuda,,0,True,576.2654546499252,60.132058287796,,0.7969034608378871,39.07103825136612,0.2981110974777032,2.8421709430404014e-14,Checkpoints\SAC_LSTM\sac_lstm_seed77_reward_v2_rrws_k24_training_ep10.pt,879447b5b155f6c6b3fce562be0c9e0c7dd39378e8b94e2d3d1496452a20ecf0,2025,335.05380153656006,58.230593607305934,41.769406392694066,0.02143815539675574,0.013190811128019675,0.2625570776255708,41.50684931506849,766.2058372705363,0.0,0.3038078159732266,1.4210854715202004e-14,2021-2023,2024,,,24.0,False,0.0,0.0,0.0,0.0,,,,,,
SAC + LSTM,88,cuda,,4,True,722.6066865324974,59.96129326047359,,0.0,40.03870673952641,0.3005972139769831,2.8421709430404014e-14,Checkpoints\SAC_LSTM\sac_lstm_seed88_reward_v2_rrws_k24_training_ep10.pt,f071ba710f785d51d4cd645314899a3ac286798e28de0318430eb47fe3aec59c,2025,421.61030754446983,50.171232876712324,49.82876712328767,0.022630746576492892,0.025975398017549257,7.385844748858447,42.44292237442922,863.6311019410982,0.0,0.29986147388258527,1.4210854715202004e-14,2021-2023,2024,,,24.0,True,0.1933027356863021,0.0042721434008507,0.0059962250469695,0.006148237735033,,,,,,
SAC + LSTM,99,cuda,,8,True,716.7995596826077,61.38433515482696,,0.0,38.61566484517304,0.2952716437641984,2.8421709430404014e-14,Checkpoints\SAC_LSTM\sac_lstm_seed99_reward_v2_rrws_k24_training_ep10.pt,db9fd290063641c86e6f77a40e68573c3420e9bd25bf57427d2a2dc476cbfc16,2025,352.19369328022003,60.82191780821918,39.178082191780824,0.02151096723806764,0.016512367099043794,0.0,39.178082191780824,788.9581251072345,0.6639285727014794,0.299802260420123,1.4210854715202004e-14,2021-2023,2024,,,24.0,True,0.404762327671051,0.0066439164358945,0.0057298073633795,0.0042820043329681,,,,,,
SAC + LSTM,110,cuda,,6,True,547.2877987027168,60.78096539162113,,0.0,39.21903460837887,0.3005750784902662,2.8421709430404014e-14,Checkpoints\SAC_LSTM\sac_lstm_seed110_reward_v2_rrws_k24_training_ep10.pt,a207d6296aa0211f2140d30476d10dea111675dff3a15f5e43c5822179d4a7f7,2025,323.74054312705994,59.086757990867575,40.913242009132425,0.021408500948883854,0.01728353149638572,0.0,40.913242009132425,758.7563030592991,0.0,0.3039350054038161,1.4210854715202004e-14,2021-2023,2024,,,24.0,True,0.1856973767280578,0.0014615258468048,0.0011014858526842,0.0009110862655299,,,,,,
